Company_name,URL,company_head,founded_year,location,model,contact
DaWanda GmbH,http://www.dawanda.de,"Claudia Helming, Michael Pütz",2006,Berlin,Online-Marktplatz für Selbstgemachtes,
deal united GmbH,http://www.dealunited.com,"Joaquim Esteve, Jarg Temme, Juergen Weichert",2007,Muenchen,Ansprache von Nicht-Käufern in Online-Shops,info@dealunited.com
Dealjaeger GmbH,http://www.dealjaeger.de,"Daniel Gr?zinger, Sven Schmidt",2006,Hamburg,Social-Commerce-Plattform,info@dealjaeger.com
Deatech GmbH,http://www.wijng.com,Mathias M?ller,2008,Wien,Sprachlernplattform,info@wijng.com
decimo gmbh,https://www.decimo.de,,2014,Berlin,"Rechnungsvorfinanzierung und -management (Factoring) für Gewerbetreibende, Freiberufler und kleine bis mittlere Unternehmen",
DeinDesign GmbH,http://www.deindesign.com,"Gerd Dussler, Kyan Noack, Manuel Noack",2006,Bad Kreuznach,Produktverschönerung,mail@deindesign.com
Deine Tierwelt GmbH,http://www.deine-tierwelt.de/,Frank Schultheiss,2007,Hannover,Tier-Community,info@deine-tierwelt.de
deineBewerbung UG (haftungsbeschr?nkt),http://www.deinebewerbung.de,"Florian Jaeger, Johannes Lomnitz, Moritz ten Eikelder",2008,K?ln,Online-Dienstleister für Bewerbungen,info@deinebewerbung.de
deineschokoladen GbR,http://www.deineschokoladen.com,"Annette Knieling, Mathias Fiedler, Christian Zacharias",2008,Leipzig,Online-Shop für individuelle Schokolade,info@deineschokoladen.com
Delia Fischer Internet GmbH,http://www.westwing.de/,"Delia Fischer, Matthias Siepe, Stefan Smalla",2011,M?nchen,Shoppingclub für Möbel,service@westwing.de
deligoo UG,http://www.deligoo.de,Christian Sothmann,2010,Hamburg,Meta-Suchmaschine für Gebrauchtwagen,info@deligoo.de
Designenlassen.de – Marktplatz f?r Kreativdientleistungen UG,http://www.designenlassen.de/,"Michael Kubens, Eugen Sobolewski",2008,N?rnberg,Online-Marktplatz für kreative Dienstleistungen,info@designenlassen.de
Designwelt GmbH,http://www.avandeo.de/,"Burkhard Gersch, Ulrich Gersch",2009,M?nchen,Design-Shop,info(at)avandeo(dot)de
DeutscheDaten Portal- und Plattforml?sungen GmbH,http://www.comly.de,,2007,Gr?nwald,Community f?r Organisationen und Vereine,info@deutschedaten.de
Dextrose AG,,Rocco Di Leo,2009,Mainz,,contact@dextrose.com
DFS Deutsche Folienservice GmbH,http://www.foljen.de/,Lukas Dietzsch,2008,Jena,Plattform zur Gestaltung von Werbefolien,info@foljen.de
Dialo GmbH & Co. KG,http://www.dialo.de/,Peter Chlosta,2006,N?rnberg,Auskunfts- und Bewertungsplattform,info@dialo.de
dialogbetrieb GmbH & Co. KG,http://www.handeln.de,"Christian Dereser, Ralf Fisch",2007,N?rnberg,meCommerce-Plattform,info.de@handeln.de
Dictocom GmbH,http://www.dicto.com,Robert Huber,2009,Eichenau bei M?nchen.,"Wir konvertieren Sprache in Text, der dann als Kurznachricht (SMS, Email, Twitter) verschickt werden kann. Dieser Service kann von jedem Telefon der Welt genutzt werden.
Ob Handy oder Festnezttelefon ist völlig egal.",robert.huber@dicto.com
Die Fans Media GmbH,http://www.die-fans.de/,"Stephan Trosien, Viktoria Trosien",2007,Berlin,Regionale Fu?ball-Community,v.trosien@die-fans.de
diepruefer.de Logistik-Dienstleistungen GmbH,http://www.diepruefer.de,Ronny D?ring,2008,Jena,Vermittlungsplattform für Sachverständige,info@diepruefer.de
Dig a Ding AG,http://www.digading.com/,"Patrick M?ller, Marc Leuzinger",2007,Z?rich,Homestoryplattform,
digidip GmbH,http://www.digidip.net/,Sabrina Saleh,,Berlin,,info@digidip.net
Digital Bloom GmbH,http://www.digitalbloom.com,"Hendrik Boeing, Markos Kern",2008,"M?nchen, New York",Plattform für den Kauf von digitaler Kunst und Design,
Digital Natives UG (hb.),http://parktag.mobi/,Silvan C. Rath,2012,Berlin,Crowdsourched Parking App,info@parktag.mobi
DIPAT Die Patientenverfügung GmbH,https://www.dipat.de/,Paul Brandenburg,2015,Leipzig,E-Health-Dienstleistung,kundendienst@dipat.de
Discounto Produktinformationsgesellschaft mbH,http://www.discounto.de/,"Bobby Thekkekara, Jan Dreger",2009,Berlin,Lokaler Schnäppchenführer,kontakt@discounto.de
Divolution – Digital Revolution Technology GmbH,http://www.divolution.com,Michael Beck,2005,Detmold,"Anbieter von Webana?lyse-, Testing- und Targeting-L?sungen",m.beck@divolution.com
DJTunes.com GmbH,http://www.djtunes.com,"Thimo Seidel, Timo Becker",2005,Bochum,Download-Plattform f?r Dance und Club-Music,
DocInsider GmbH,http://www.docinsider.de/,Ingo Horak,2007,"Merseburg, Hamburg",Arztsuche und -bewertungsplattform,info@docinsider.de
DocMorris N.V.,http://www.docmorris.de/,"Ralf D?inghaus, Christoph Jennen, Thomas Schiffer",2000,Heerlen,Versandapotheke,
Dodo Digital Labs UG,http://www.fiveo.de/,Urs Schneider,2010,Soltau,Vermittlung von Mini-Jobs,info@fiveo.de
Doktus Internet S.R.L.,http://www.doktus.de/,Costin Zamfir,2007,"Bukarest, M?nchen",Dokumentenplattform,costin.zamfir@doktus.de
donanda GmbH,http://www.donanda.de,"Michael Henning, Wolfgang Schmidt, Andre Tzschaschel",2007,Berlin,Gutscheine-Plattform,info@donanda.de
DOT51 Incorporated,http://www.hot-dot.eu,Andrej Alexej Rudnik,2006,"Portland, Oregon, USA + Vancouver, British Columbia, Kanada",Gesch?ftsanbahnung zwischen Unternehmen und Privatpersonen,ewan.conor@hot-dot.eu
Doxter GmbH,http://www.doxter.de,"Ron Lehnert, Julian Hofffmann, Kai Rubarth",2011,Berlin,Dienstleistungen für Ärzte,
Dr. Bernd Storm van?s Gravesande & Stefan Neubig GbR,http://www.aboalarm.de,"Dr. Bernd Storm van?s Gravesande, Stefan Neubig",2008,,Dienst für Kündigungserinnerung,info@aboalarm.de
Dreamlines GmbH,http://www.dreamlines.de/,Felix Schneider,2012,Hamburg,Online-Reisebüro für Kreuzfahrten,info@dreamlines.de
dreizehn grad UG,http://www.13grad.com,Kay Liedl,2012,M?nchen,Social Community,info@13grad.com
dress-for-less GmbH,http://dress-for-less.de/,"Mirco R. Schultis, Holger Hengstler",1999,Fl?rsheim / Main,Online-Outlet für Marken- und Designermode,info@dress-for-less.de
DRESSCLEVER UG (haftungsbeschränkt),http://www.dressclever.com,"Martin Wozke, Roman Decker und Sergej Heck",2013,Karlsruhe,Fashion Media Community,info@dressclever (punkt)com
Druckbesser.de GmbH & Co. KG,http://www.druckbesser.de,J?rgen Zietlow,2008,Syke,Marktplatz für Druckdienstleistungen,
DS Digitale Seiten GmbH,http://www.digitaleseiten.de,Waldemar Zeiler,2010,Berlin,Vertikale Online Branchenportale für KMU,info@digitaleseiten.de
DS Media GmbH,http://www.deutsche-startups.de,Stefan Vossk?tter,2007,K?ln,Online-Branchenmagazin f?r die deutsche Startup-Szene,ahuesing@deutsche-startups.de
DWDL.de GmbH,http://www.dwdl.de/,"Thomas L?ckerath, Holger Harms",2006 / 2001,K?ln,Online-Mediendienst,
E-Commerce Network UG,http://www.spreadbooster.de,J?rn Kunst,2009,Ilmenau,,jk@spreadbooster.de
easystores GmbH,http://www.easystores.org/,Christian Lertes,2011,Frankfurt am Main,Multishop,contact@easystores.org
eatstar GmbH,http://www.eat-star.de,"Daniel Bosch, Uwe Kampschulte, Mark-Christoph Beyer",2009,Berlin,Online-Bringdienstvermittler,
Ecards and more GmbH,http://www.grusskartenfreunde.de,Peter und Tomas Stiller,2005,Berlin,eCards und Postkartenversand,mail@ecards-and-more.de
Ecato GmbH,http://www.ecato.com/,"Andreas Mauf, Christian Boris Schmidt",2005,Berlin,Marktplatz-Netzwerk,de.info@ecato.com
edelight GmbH,http://www.justaloud.com/,"Peter Ambrozy, Steffen Belitz, Tassilo Bestler",2007,Stuttgart,Musik-Shop,hey@justaloud.com
EF-Projects GmbH,http://www.qhase.de/,"Philipp Ehlers, Bj?rn Fleischer",200,Berlin,Dienstleistungsplattform,
Effilee GmbH (fr?her Kochpiraten GmbH),http://www.effilee.de,Vijay Sapre,2004,Hamburg,Online-Wiki rund ums Thema Essen und Trinken,info@effilee.de
egenium GmbH,http://www.deutschlandklickt.de,Murat Icer,2007,D?sseldorf,Klickpiel,info@deutschlandklickt.de
Egoditor UG (haftungsbeschr?nkt),http://www.egoditor.com,"Nils Drescher, Nils Engelking",2009,Bielefeld,Software-Lösung zur Erstellung und Publizierung,
eifo.eu Industriedienstleistungen KG,http://www.eifo.eu,"Nico Haberzettl, Veronika Jauernig",2008,Maxh?tte-Haidhof,Internetplattform für die Vermittlung von Entsorgungsaufträgen,info@eifo.eu
eKomi Ltd,http://www.ekomi.de/,Michael Ambros,2008,Berlin,Kundenmeinungstool,
EliteMedianet GmbH,http://www.elitepartner.de/,Arne Kahlke,2004,Hamburg,Online-Partneragentur,info@elitepartner.de
eLuNiMa Ltd.,http://www.teilsmit.de,"Nicolas Gatzke, Marco Ghiglieri",2007,Darmstadt,Informationsdienst f?r Web-Inhalte,info@elunima.net
emdeq GmbH & Co. KG,http://www.photolovers.de,Malte Daun,2008,M?nchen,Plattform f?r Fotografen und Kunstliebhaber,mdaun@emdeq.de
emerango GmbH,https://emerango.eu,"Andreas Maile, Marc Tecklenburg",2013,Offenbach am Main,Re-Commerce mit Schwerpunkt Consumer Electronics,info@emerango.eu
emion interaktive medien GmbH,http://www.gamechain.de/,Gilbert Schmidtke,2008,L?beck,Gamer-Community,
Empire Merchandising GmbH,http://www.empireposter.de,Frank Jaehn,,64572 B?ttelborn,"Empire-Poster ist Ihr renommierter Partner für Poster & Merchandise-Artikel mit Lifestyle-Faktor. Ob Sie dem gastronomischen Betrieb mit dem stylishen Poster oder eleganten Kunstdruck das perfekte Ambiente verleihen möchten, das Entree Ihres Unternehmens kundengerecht dekorieren oder schlichtweg Ihre Wohnräume angenehm lebenswert aufpeppen wollen",empire merchandising gmbh hessenring 5 64572 b?ttelborn
Employour GmbH,http://www.meinpraktikum.de,"Stefan Peukert, Daniel Sch?tt",2010,Bochum,Bewertungsplattform für Prakikantenjobs und Stellenbörse,info@employour.de
Emporis GmbH,http://corporate.emporis.com,Daniel Gr?zinger Sven Schmidt,2000,Frankfurt am Main (vorher Darmstadt),Datenerfassung von Gebäuden und Bauwerken,corporate@emporis.com
Enamora GmbH,http://www.enamora.de/,"Zouhair Belkoura, Tu-Lam Pham",2008,Berlin,Online-Shop für Dessous,
eNewcon Media,http://www.jobvoting.de,,2006,Berlin,Arbeitgeber-Bewertungsplattform,r.skrzeba@jobvoting.de
Engel & K?hl Gbr,http://www.kronederschoepfung.de,Natalie Engel / Michel K?hl,2006,Sprakensehl / Gifhorn,Online-Dessou-Versand,info@kronederschoepfung.de
Entertainment Shopping Europe GmbH,http://www.preissau.de,Andreas Hartung,2008,Sondershausen,,info@preissau.de
EPIDU Verlag GmbH,http://www.epidu.de,Thanh Cao Nguyen,2010,Aachen,"EPIDU ist ein Web 2.0-Verlag. Der Unterschied zu einem traditionellen Verlag ist, dass hier der Leser mitentscheiden kann, welches Buch in das Verlagsprogramm aufgenommen wird. Die Autoren können durch zusätzliche Verlags- und Marketingdienste ihr Werk aufwerten und vermarkten.",cao_hung.nguyen@epidu.de
epubli GmbH,http://www.epubli.de,"Florian Geuppert, Markus Pöhlmann",2008,Berlin,Books on demand,kontakt@epubli.de
eraffe media GmbH & Co. KG,http://www.eraffe.de/,"Maximilian Kuss, Oliver D?ser",2005,Rosenheim,Regionales Netzwerk,info@eraffe-media.de
Erdbeerlounge GmbH,http://www.erdbeerlounge.de/,Stephanie Staar,2008,K?ln,Frauen-Community und -magazin,kontakt@erdbeerlounge.de
erento GmbH,http://www.erento.com/,"Chris M?ller, Oliver Weyergraf",2003,Berlin,Miet-Marktplatz,info@erento.com
erfinder AT Patentverwertungs GmbH,http://www.patent-net.de,"Marijan Jordan, Gerhard Muthenthaler",2008,Berlin,Marktplatz für Patente,office@erfinder.at
ETT Event&Travel Touristik AG,http://www.aparto.de,"Andreas Bergmann, Jens Totschnig",2007,Berlin,Reise-Plattform f?r St?dte- und Kulturreisen,a.bergmann@aparto.de
Evaluba AG,http://evaluba.com,Bj?rn Schwenzer,2008,Herrenberg,Arbeitgeber-Bewertungsdienst,info@evaluba.com
Evola,http://www.evola.biz/,Felix Burri,,Basel,E-Business Plattform,info@evola.biz
exchange*me,http://www.exchange-me.de,Matthias Pries,2005,Berlin,Tauschplattform f?r private Dienstleistungen,mpries@exchange-me.de
Experiencr UG,https://www.experiencr.com/,"Wieland Feuerstein, Dennis Kramer, Richard Petrich, Korbinian Würl",2014,Dortmund,"ergleichsportal für Sport-, Abenteuer- und Erlebnisreisen",info@experiencr.com
Experteer GmbH,http://www.experteer.de,Christian G?ttsch,2005,M?nchen,Stellenb?rse f?r Fach- und F?hrungskr?fte,alexander.blume@experteer.com
expertia.de GmbH,http://www.expertia.de/,Lars L?ke,2006,Hamburg,Jobbörse für Menschen mit Berufserfahrung,info@expertia.de
EXPLI GmbH,http://www.expli.de,,2007,M?nchen,Ratgeberseite,kontakt (ad) expli.de
exploreB2B GmbH,http://www.exploreb2b.com,"Jonathan Gebauer, Susanna Gebauer",2010,Berlin,Diskussions- und Kontaktplattform für den B2B-Bereich,info@exploreb2b.com
EXSA Online-Portale GmbH,http://www.bemycityguide.de/,Carsten Wehrle,2007,Wiesbaden,City-Reisecommunity,
Exxplain Limited,http://www.exxplain.com,Falk K?hny,2007,"Wakefield, West Yorkshire",Videolernplattform,info@exxplain.com
Eyeglass24 GmbH,http://www.eyeglass24.de/,Jascha Chong Luna,2012,München,B2C Onlineshop für Brillengläser inkl. Einarbeitung in Fassung des Kunden,
fabidoo GmbH,http://www.fabidoo.com/,Petra Wallasch,2007,Leipzig (fr?her M?nchen),Online-Shop für individuelle Figüchen,info@fabidoo (dot) com
Fairr.de GmbH,https://www.fairr.de/,Jens Jennissen,2014,Berlin,Digitale Altersvorsorge,
Falcon Internet GmbH,http://www.chicchickclub.de/,Nikolaus Meyden,2011,Berlin,Abo-Club für Mode,info@falconinternet.de
FamilyOne GmbH,http://www.familyone.de/,David Zong-Hyeck An,2007,Karlsruhe,Familiennetzwerk,businessdevelopment@familyone.de
famPlus GmbH,http://www.famplus.de/,"Julia G?nzler, Markus Solf",2010,M?nchen,Firmenlösungen für Kinderbetreuung,info@famplus.de
Fantastic Zero GmbH,http://www.fantasticzero.de/,Aric Austin,2007,M?nchen,Netzwerk von bestehenden Entertainment und Game-Sites,aricaustin@fantasticzero.com
Farbflut Entertainment GmbH,http://www.pennergame.de/,"Marius Follert, Niels Wildung",2008,Hamburg,Browserspiel,
fashion4home GmbH,http://www.fashion4home.de,"Marc Appelhoff, Christoph Cordes",2009,Berlin,Online-Shop für Designmöbel,info@fashion4home.de
Fashionaire,http://www.fashionaire.de,Patric Stricker,2008,D?sseldorf,Live-Shoping-Pattform für Mode,office@fashionaire.de
fashionfreax GmbH,http://www.fashionfreax.net,Ulrich Theilmann,2007,Berlin,Mode-Community,info@fashionfreax.net
FastBill GmbH,http://www.fastbill.com,"Christian Häfner, René Maudrich",2007,"Essen, Offenbach am Main",FastBill Plus (seit 2008),info@fastbill.com
Fastforward RSA GmbH,http://www.gigalo.de/,"Alexander Graubner-M?ller, Sebastian Diemer",2011,Hamburg,Vermittlung von Mini-Jobs,info@gigalo.de
Fat Bird Media GmbH,http://www.fettervogel.de,Emanuel Engelhardt,2008,M?nchen,Plattform für kostenlose Klingeltöne,kontakt@fettervogel.de
fem Media GmbH,http://www.fem.com/,"Kathrin Anselm, Vanessa Hensel, Manuel Gollner",2008,M?nchen,Netzwerk für Frauen-Websites,welcome@fem.com
femory GmbH & Co. KG,http://www.femory.de,"Jan Fischer, Frank Horn",2009,M?nchen,"Online-Plattform zum multimedialen Archivieren, Gestalten und Teilen",kontakt@femory.de
Filespots GmbH & Co. KG,https://www.filespots.com/,"Bernd Behler, Martin Obmann, Marc Schieder, Thilo Wolter",2009,Augsburg,Online-Speicher,info@filespots.com
filmbutler,http://www.filmbutler.de,"Lars R?vekamp, Pascal Tilly",2008,,Online TV-Guide,info@fyesta.net
Finance Bay Desinvestitionsmakler GmbH & Co. KG,http://www.financebay.de/,Birgit Habicher,2007,Hofstetten bei Ingolstadt,Handelsplattform f?r den Verkauf von Lebensversicherungen,info@financebay.de
Finanzen100 GmbH,http://www.finanzen100.de,Oliver Eckert,2008,K?ln,Finanzplattform,
Finderia Media GmbH,http://www.finderia.com,"J?rgen Gerleit, Andreas Hauenstein",2010,M?nchen,Social Recommendation Plattform,
finocom AG,http://www.nicknumber.de/,"Italo Adami, Markus Haas, Kamran Hedjrat",2007,K?ln,Einwegrufnummer,info@finocom.net
Fintura GmbH,http://www.fintura.de,"Gernot A. Overbeck, Thomas Becher",2014,Frankfurt am Main,"Finanzierungsplattform für mittelständische  Unternehmen, Selbstständige und Freiberufler",info@fintura.de
fipart GmbH,http://www.fipart.com,"Andreas Lampprecht, Martin Rieger",2007,Leinfelden-Echterdingen,Handelsplatz und Treffpunkt für die Luftfahrtindustrie,info@fipart.com
firal GmbH,https://www.firal.io/,Aaron Keilhau ,2015,Hamburg,,
Flaregames GmbH,http://flaregames.com/,Klaas Kersting,2011,Karlsruhe,Mobil Reality-Games,info@flaregames.com
Flexib Webcoding,,Sebastian Schmiedel,2008,Angersdorf,Frage- und Anwort-Plattform,info@flexib.de
Flip4 GmbH,http://www.flip4new.de/,Michael Sauer,2009,Frankfurt am Main,Ankaufplattform,info@flip4new.de
flyamo GmbH,http://www.flyamo.de,Toralf Reinhardt,2009,Berlin,Flug und Reise-Informationen,
Fonpit AG,http://www.androidpit.de/,"Fabien R?hlinger, Sven Woltmann",2009,Berlin,Android-Plattform,info@androidpit.de
FoodConcept,http://www.mini-job.de,"Isabella Eggert, Heidrun Maurer",2008,Frankfurt,Dienstleistungsplattform,de-kontakt@mini-jobs.ch
Foodist GmbH,https://foodist.de/,"Alexander Djordjevic, Ole Schaumberg ",2012,Hamburg,E-Commerce,
ForMyBand-Music GmbH,http://www.formyband.com,Benjamin Uebel,2008,Berlin,Beteiligungsplattform für Musikliebhaber,contact@formyband.net
fotocommunity GmbH,http://www.fotocommunity.de,Andreas Meyer,2001,Bonn,Foto-Community,office@fotocommunity.net
Freelancer.Net GmbH,https://www.freelance.de,Simon Gravel,2006,M?nchen,Online-Projektbörse für Freiberufler,team@freelance.de
Freundliche Netzwerke GmbH,http://www.woobby.de/,"Thomas Goette, Cornelia M?ller, Ralph Razisberger",2007,Pulheim,Ranking-Community,woobby@freundliche-netzwerke.com
Fried Egg Golf GbR,http://www.wirsindgolf.net,"Mirjam Brungs, Carsten Sch?tte, Christina Weier",2008,Hamburg,Social Network für Golfer,info@wirsindgolf.net
friendfund Gmbh,http://www.friendfund.com/,Henry George McCarney,2011,Berlin,,info@friendfund.com
Friendsurance,http://www.friendsurance.de,"Tim Kunde, Dr. Sebastian Herfurth",2010,Berlin,Versicherungskonzept,info@friendsurance.de
froodies GmbH,http://www.froodies.de/,Lutz Preu?ners,2009,Dortmund,Online-Lebensmittelshop,info@froodies.de
Fruetel Media Services,http://www.yaggs.de/,Thomas Fr?tel,2007,Essen,Webkatalog und Suchmaschine,info@fruetel.de
FRW Bach GmbH,https://www.talocasa.de/,Sebastian Wagner,2014,Hamburg ,Beratungsservice und Maklervermittlung ,
Fuchstreff GmbH,http://www.fuchstreff.de/,"Martin Kavalar, Agnes Reissner",2010,Berlin,Online-Doppelkopf-Games,
FUF – Frank und Freunde GmbH,http://www.7lists.de,Frank Meier,2008,Stuttgart,Ranking-Community,kontakt@7lists.de
Funding Circle Deutschland GmbH,https://fundingcircle.de,"Thorsten Seeger, Pauntea Morshedi",2010,Berlin (Hauptsitz,Marktplatz für Unternehmensfinanzierung,info@fundingcircle.de
FWnetz GmbH,http://www.fwnetz.de,Irakli West,2007,Haar bei M?nchen,Plattform f?r Feuerwehrleute,iw@fwnetz.de
G?nther & Kunze GbR,http://www.supertopic.de,"Stephan G?nther, Matthias Kunze",2007,Hamburg,"Community für Designer, Fotografen, Webentwickler und Kreative",mail@supertopic.de
Game Ad Net GbR,http://gan-online.com/,"Daniel Siegmund, Marlon Werkhausen",2007,Hamburg,Spiele-Vermarkter,info@gan-online.com
GameDuell GmbH,http://www.gameduell.de/,"Kai Bolik, Boris Wasmuth",2003,Berlin,Online-Spieleplattform,info@gameduell.de
Gameforge AG,http://www.gameforge.de,Klaas Kersting,2003,Karlsruhe,Browserspiele-Hersteller,info@gameforge.de
GameGenetics GmbH,http://www.popmog.com,Jeffry van Ede,2009,Berlin,Online- und Mobile-Spiele,info@gamegenetics.de
Gastrolister GbR.,http://www.gastrolister.de,"Denis Klug, Dominik Ruffing, J?rg Popp",2008,Flieden (bei Fulda),Gastronomieführer,d.klug@gastrolister.de
Gate 53|10 Technologies UG,http://www.fytch.com/,"Thomas Huben, Oliver Krohne, Thorsten Singhofen",2009,Hamburg,Kommentare zu Websites,
Geld-Magazin.de,http://www.geld-magazin.de,Anette Rehm,2008,N?rnberg,Infoplattform zum Thema Geld,info@geld-magazin.de
gentle-M Ltd.,http://www.dergepflegtemann.de,Sabine Br?ske,2006,Rockenberg,Online-Handel f?r M?nnerkosmetik,info@dergepflegtemann.de
Gentlemen\’s Digest Ltd. & Co. KG,http://www.xinxii.com/,"Ulrich Schober, Andrea Schober",2007,Berlin,Online-Marktplatz f?r nutzergenerierte Inhalte,info@gdigest.com
